time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_sum (mm),precipitation_hours (h),sunshine_duration (s),wind_speed_10m_max (km/h),weather_code (wmo code),wind_direction_10m_dominant (°),relative_humidity_2m_mean (%)
2023-01-01,27.5,15.0,0.00,0.00,0.0,39306.55,16.0,3,84,64
2023-01-02,26.7,14.9,0.00,0.00,0.0,39783.00,16.2,2,99,66
2023-01-03,26.5,15.1,0.00,0.00,0.0,38017.56,14.9,3,92,71
2023-01-04,26.4,16.0,0.00,0.00,0.0,37348.77,17.3,3,94,70
2023-01-05,25.1,15.1,0.10,0.10,1.0,30768.40,20.4,51,89,75
2023-01-06,26.8,14.9,0.00,0.00,0.0,35540.29,22.9,3,81,73
2023-01-07,26.5,15.8,0.00,0.00,0.0,34107.19,18.1,3,74,69
2023-01-08,26.6,14.4,0.00,0.00,0.0,39293.32,15.0,3,69,67
2023-01-09,26.1,13.1,0.00,0.00,0.0,40458.04,14.1,3,78,60
2023-01-10,26.6,11.9,0.00,0.00,0.0,40653.00,17.1,3,81,64
2023-01-11,27.2,12.1,0.00,0.00,0.0,40277.83,14.7,3,84,60
2023-01-12,28.2,12.2,0.00,0.00,0.0,40692.41,13.5,3,81,54
2023-01-13,28.4,12.9,0.00,0.00,0.0,40607.08,14.1,3,92,58
2023-01-14,29.0,12.5,0.00,0.00,0.0,40386.10,12.2,3,95,53
2023-01-15,28.4,11.9,0.00,0.00,0.0,40756.89,14.2,3,104,57
2023-01-16,29.0,12.4,0.00,0.00,0.0,40707.12,17.0,3,90,59
2023-01-17,28.5,13.6,0.00,0.00,0.0,38383.75,13.9,3,105,62
2023-01-18,27.5,13.5,0.00,0.00,0.0,35576.35,14.8,3,93,65
2023-01-19,27.1,13.8,0.00,0.00,0.0,38445.25,16.7,3,86,63
2023-01-20,26.5,13.5,0.00,0.00,0.0,38402.81,16.6,3,102,72
2023-01-21,26.5,14.9,0.00,0.00,0.0,37848.07,14.2,3,87,66
2023-01-22,26.7,14.7,0.00,0.00,0.0,40933.53,17.9,3,90,62
2023-01-23,27.4,14.9,0.00,0.00,0.0,37317.74,17.6,3,104,74
2023-01-24,27.9,16.1,0.00,0.00,0.0,37724.33,17.3,3,109,68
2023-01-25,27.8,15.6,0.00,0.00,0.0,39186.97,16.7,3,102,64
2023-01-26,27.8,15.0,0.00,0.00,0.0,40216.19,16.5,3,98,65
2023-01-27,28.2,14.0,0.00,0.00,0.0,35082.89,14.4,3,93,64
2023-01-28,27.9,13.5,0.00,0.00,0.0,41116.29,16.6,3,81,56
2023-01-29,27.7,14.1,0.00,0.00,0.0,41148.91,22.8,3,87,62
2023-01-30,27.1,17.0,2.30,2.30,7.0,30158.03,15.0,55,89,76
2023-01-31,29.0,15.7,0.00,0.00,0.0,40070.59,19.7,3,54,60
2023-02-01,28.4,15.9,0.00,0.00,0.0,38430.71,20.5,3,56,55
2023-02-02,29.0,16.5,0.00,0.00,0.0,38081.75,26.0,3,61,52
2023-02-03,26.5,16.4,0.00,0.00,0.0,20940.67,23.2,3,72,64
2023-02-04,29.1,16.5,0.00,0.00,0.0,41314.42,20.6,3,85,56
2023-02-05,30.0,15.9,0.00,0.00,0.0,41388.98,16.4,3,91,51
2023-02-06,29.4,16.1,0.00,0.00,0.0,40409.04,15.2,3,104,50
2023-02-07,29.7,15.9,0.00,0.00,0.0,41404.37,12.3,3,106,56
2023-02-08,30.9,17.0,0.00,0.00,0.0,41496.40,15.9,3,80,55
2023-02-09,30.2,16.4,0.00,0.00,0.0,41533.25,15.9,3,87,53
2023-02-10,30.1,15.6,0.00,0.00,0.0,41570.70,18.2,3,74,47
2023-02-11,30.2,14.8,0.00,0.00,0.0,40715.67,15.6,3,77,44
2023-02-12,31.0,16.0,0.00,0.00,0.0,39062.70,17.7,3,78,43
2023-02-13,30.5,15.9,0.00,0.00,0.0,41686.20,21.1,1,84,41
2023-02-14,30.5,15.0,0.00,0.00,0.0,41725.61,14.0,0,77,42
2023-02-15,30.6,14.7,0.00,0.00,0.0,41765.41,16.9,0,71,43
2023-02-16,30.5,15.6,0.00,0.00,0.0,41805.56,19.5,1,82,45
2023-02-17,30.4,15.4,0.00,0.00,0.0,41846.01,18.1,0,87,44
2023-02-18,30.2,14.8,0.00,0.00,0.0,41886.73,13.9,0,89,47
2023-02-19,29.9,15.4,0.00,0.00,0.0,41927.68,14.5,0,89,54
2023-02-20,30.0,16.4,0.00,0.00,0.0,41968.82,16.6,0,84,50
2023-02-21,31.0,16.9,0.00,0.00,0.0,42010.11,14.5,0,80,42
2023-02-22,31.1,15.8,0.00,0.00,0.0,42051.53,15.7,2,85,43
2023-02-23,31.0,14.6,0.00,0.00,0.0,42093.02,20.3,0,87,39
2023-02-24,31.4,14.1,0.00,0.00,0.0,42134.56,16.9,0,84,42
2023-02-25,31.6,15.4,0.00,0.00,0.0,42176.12,21.1,0,87,34
2023-02-26,30.5,14.2,0.00,0.00,0.0,42217.63,21.3,0,88,37
2023-02-27,29.9,13.9,0.00,0.00,0.0,42259.04,21.0,2,91,38
2023-02-28,30.7,14.2,0.00,0.00,0.0,37348.05,22.0,3,97,53
2023-03-01,30.0,15.9,0.00,0.00,0.0,40176.80,20.4,3,92,53
2023-03-02,30.0,14.9,0.00,0.00,0.0,42384.64,24.2,3,89,37
2023-03-03,31.0,14.9,0.00,0.00,0.0,42427.16,26.8,0,83,29
2023-03-04,31.0,16.1,0.00,0.00,0.0,42469.96,25.9,0,91,31
2023-03-05,31.3,16.8,0.00,0.00,0.0,42513.01,21.1,0,91,31
2023-03-06,31.2,16.0,0.00,0.00,0.0,42556.27,23.1,3,92,31
2023-03-07,31.0,16.2,0.00,0.00,0.0,36395.78,23.4,3,93,39
2023-03-08,30.8,16.0,0.00,0.00,0.0,41048.86,22.1,3,88,40
2023-03-09,30.5,16.0,0.00,0.00,0.0,41984.65,20.2,3,86,39
2023-03-10,30.4,16.2,0.00,0.00,0.0,42730.74,19.8,3,88,45
2023-03-11,31.4,15.6,0.00,0.00,0.0,42774.57,22.1,1,79,44
2023-03-12,31.2,15.3,0.00,0.00,0.0,40515.96,19.2,3,99,53
2023-03-13,31.8,17.5,0.00,0.00,0.0,42862.24,16.6,3,111,48
2023-03-14,32.7,18.6,0.00,0.00,0.0,42906.04,18.5,3,116,42
2023-03-15,32.5,18.2,0.00,0.00,0.0,42949.75,17.1,3,133,53
2023-03-16,30.6,19.2,1.20,1.20,5.0,42993.37,12.6,51,166,67
2023-03-17,29.4,18.9,4.20,4.20,14.0,39715.86,20.3,61,146,75
2023-03-18,30.0,17.6,12.20,12.20,8.0,43018.23,16.7,63,182,72
2023-03-19,30.4,17.0,6.60,6.60,5.0,38380.04,17.3,63,229,67
2023-03-20,31.4,18.0,0.00,0.00,0.0,39428.44,21.6,3,241,52
2023-03-21,31.4,18.0,0.00,0.00,0.0,43032.99,11.9,3,277,42
2023-03-22,31.6,18.6,0.00,0.00,0.0,43037.22,10.2,3,197,54
2023-03-23,33.6,19.2,0.00,0.00,0.0,43041.17,14.1,3,224,50
2023-03-24,33.0,20.2,0.00,0.00,0.0,42368.80,13.6,3,198,56
2023-03-25,30.8,19.6,1.30,1.30,7.0,41149.19,14.4,51,160,63
2023-03-26,31.0,20.1,0.40,0.40,3.0,40947.75,12.0,51,187,59
2023-03-27,35.5,20.4,0.00,0.00,0.0,42203.84,18.4,3,356,42
2023-03-28,34.7,20.4,0.00,0.00,0.0,43058.13,12.9,3,98,51
2023-03-29,32.3,20.9,5.70,5.70,8.0,36104.58,12.2,61,202,64
2023-03-30,32.2,19.8,0.60,0.60,4.0,38039.00,18.7,51,168,59
2023-03-31,31.4,20.4,0.20,0.20,1.0,43067.64,14.5,51,202,53
2023-04-01,29.7,20.1,1.50,1.50,4.0,43070.95,15.0,53,188,62
2023-04-02,33.8,19.7,0.00,0.00,0.0,43074.41,12.3,3,232,53
2023-04-03,32.9,20.0,0.00,0.00,0.0,43078.05,15.6,2,173,56
2023-04-04,31.1,19.6,0.60,0.60,3.0,28164.61,16.3,51,183,67
2023-04-05,32.5,19.0,0.00,0.00,0.0,42367.04,14.0,3,132,53
2023-04-06,31.2,20.3,0.20,0.20,2.0,43090.52,14.4,51,135,59
2023-04-07,32.1,19.5,0.00,0.00,0.0,43095.32,16.8,1,122,54
2023-04-08,32.2,18.5,0.00,0.00,0.0,43100.46,19.9,3,103,48
2023-04-09,32.4,18.2,0.00,0.00,0.0,43105.63,13.6,2,101,53
2023-04-10,32.9,19.1,0.00,0.00,0.0,43110.84,21.1,3,109,52
2023-04-11,33.6,18.8,0.00,0.00,0.0,43116.09,14.6,3,104,41
2023-04-12,34.7,18.5,0.00,0.00,0.0,43121.41,19.2,0,99,34
2023-04-13,35.1,19.2,0.00,0.00,0.0,43126.83,20.5,2,108,32
2023-04-14,35.2,19.6,0.00,0.00,0.0,43132.38,21.7,3,118,31
2023-04-15,34.0,20.0,0.00,0.00,0.0,43138.07,18.8,3,74,33
2023-04-16,34.2,19.5,0.00,0.00,0.0,43143.95,15.0,3,105,32
2023-04-17,34.6,19.5,0.00,0.00,0.0,43150.02,17.1,1,119,34
2023-04-18,34.9,20.5,0.00,0.00,0.0,43156.31,17.0,1,120,35
2023-04-19,35.5,20.6,0.00,0.00,0.0,43162.86,15.8,0,145,38
2023-04-20,34.9,20.8,0.00,0.00,0.0,43169.67,10.4,3,218,43
2023-04-21,33.8,21.4,0.00,0.00,0.0,41185.15,8.8,3,237,50
2023-04-22,33.3,21.0,0.00,0.00,0.0,42633.16,11.3,3,225,53
2023-04-23,33.3,21.4,0.00,0.00,0.0,43191.99,13.4,3,203,56
2023-04-24,33.8,21.5,0.60,0.60,3.0,43200.00,17.6,51,148,59
2023-04-25,32.1,21.0,1.60,1.60,4.0,39444.95,13.9,55,154,66
2023-04-26,33.2,21.0,0.80,0.80,4.0,42362.90,14.4,51,118,61
2023-04-27,33.7,21.2,0.10,0.10,1.0,43200.00,16.4,51,130,59
2023-04-28,32.8,20.9,1.20,1.20,3.0,43200.00,16.6,53,141,59
2023-04-29,31.8,20.9,3.60,3.60,7.0,40884.63,18.2,61,146,71
2023-04-30,31.9,19.5,18.00,18.00,8.0,34220.59,11.4,65,182,75
2023-05-01,29.5,19.4,3.60,3.60,11.0,35510.84,13.7,53,280,78
2023-05-02,29.5,19.8,5.20,5.20,14.0,30314.98,10.7,61,171,80
2023-05-03,27.0,19.8,2.50,2.50,3.0,12029.50,14.6,61,281,81
2023-05-04,28.6,20.0,1.70,1.70,8.0,41046.88,18.4,51,168,77
2023-05-05,27.7,20.4,0.00,0.00,0.0,12785.62,9.4,3,242,76
2023-05-06,29.8,20.0,9.20,9.20,12.0,25200.00,13.1,61,287,79
2023-05-07,26.1,20.9,3.60,3.60,9.0,4743.46,14.8,53,283,83
