time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_sum (mm),precipitation_hours (h),sunshine_duration (s),wind_speed_10m_max (km/h),weather_code (wmo code),wind_direction_10m_dominant (°),relative_humidity_2m_mean (%)
2023-01-01,18.1,7.4,0.00,0.00,0.0,35237.45,7.8,3,280,80
2023-01-02,17.8,6.4,0.00,0.00,0.0,36000.00,6.9,3,332,81
2023-01-03,16.5,5.6,0.00,0.00,0.0,26572.93,10.2,3,307,88
2023-01-04,16.5,4.9,0.00,0.00,0.0,35205.07,11.5,3,310,89
2023-01-05,15.4,4.6,0.00,0.00,0.0,21971.06,9.2,3,305,90
2023-01-06,13.9,4.0,0.00,0.00,0.0,25467.27,9.2,3,307,89
2023-01-07,15.0,3.5,0.00,0.00,0.0,25484.73,12.3,3,289,89
2023-01-08,17.0,5.6,0.00,0.00,0.0,26169.61,14.0,3,287,89
2023-01-09,17.0,6.0,0.00,0.00,0.0,17185.12,8.3,3,301,91
2023-01-10,18.2,7.2,0.00,0.00,0.0,21792.13,14.5,3,289,91
2023-01-11,19.2,7.4,0.00,0.00,0.0,26922.59,14.8,3,92,86
2023-01-12,20.2,9.8,0.00,0.00,0.0,34661.09,14.7,2,131,83
2023-01-13,18.0,10.6,14.30,14.30,8.0,34775.21,18.6,63,67,89
2023-01-14,17.0,5.9,0.00,0.00,0.0,33885.64,17.1,3,295,76
2023-01-15,15.2,3.7,0.00,0.00,0.0,36000.00,16.0,1,293,68
2023-01-16,15.4,3.2,0.00,0.00,0.0,36000.00,12.8,0,298,70
2023-01-17,16.3,3.0,0.00,0.00,0.0,36000.00,14.4,3,298,69
2023-01-18,16.5,3.2,0.00,0.00,0.0,36000.00,9.7,3,300,68
2023-01-19,18.0,7.8,0.00,0.00,0.0,34701.14,15.1,3,350,69
2023-01-20,19.7,8.0,0.00,0.00,0.0,36000.00,13.8,3,348,75
2023-01-21,20.3,7.0,0.00,0.00,0.0,36000.00,12.3,0,341,80
2023-01-22,21.5,8.2,0.00,0.00,0.0,35798.20,10.0,3,13,71
2023-01-23,22.7,8.5,4.70,4.70,3.0,35659.71,8.0,63,38,68
2023-01-24,20.9,12.9,2.20,2.20,11.0,26958.19,24.2,51,137,85
2023-01-25,21.0,11.9,0.20,0.20,2.0,35844.01,10.8,51,299,85
2023-01-26,18.8,7.5,0.00,0.00,0.0,28800.00,16.4,3,304,79
2023-01-27,18.5,6.8,0.00,0.00,0.0,36000.00,17.4,0,294,70
2023-01-28,20.5,6.0,0.00,0.00,0.0,36000.00,13.7,3,285,73
2023-01-29,16.4,7.7,15.90,15.90,10.0,3083.75,17.1,63,116,86
2023-01-30,16.4,9.4,13.00,13.00,5.0,5223.01,14.9,65,107,88
2023-01-31,20.5,9.8,0.00,0.00,0.0,35658.11,20.5,3,296,83
2023-02-01,20.1,9.1,0.00,0.00,0.0,36000.00,19.6,0,290,74
2023-02-02,21.6,8.9,0.00,0.00,0.0,36000.00,18.8,0,288,70
2023-02-03,22.4,9.1,0.00,0.00,0.0,36000.00,14.5,0,282,70
2023-02-04,22.8,9.9,0.00,0.00,0.0,36000.00,18.2,0,284,69
2023-02-05,23.3,10.4,0.00,0.00,0.0,36000.00,14.4,0,262,63
2023-02-06,25.2,10.5,0.50,0.50,1.0,36000.00,10.2,53,159,74
2023-02-07,23.5,9.7,0.00,0.00,0.0,36000.00,18.3,0,297,67
2023-02-08,22.8,9.6,0.00,0.00,0.0,36000.00,16.3,3,291,63
2023-02-09,26.0,9.3,0.00,0.00,0.0,36000.00,15.8,2,171,67
2023-02-10,25.7,12.8,0.00,0.00,0.0,36000.00,11.8,2,134,69
2023-02-11,26.1,11.0,0.00,0.00,0.0,36072.61,16.9,0,319,62
2023-02-12,22.4,9.8,0.00,0.00,0.0,36321.16,24.7,0,300,44
2023-02-13,21.5,9.4,0.00,0.00,0.0,36295.83,28.5,0,290,37
2023-02-14,23.9,10.0,0.00,0.00,0.0,36270.66,17.8,1,296,51
2023-02-15,26.2,11.9,0.00,0.00,0.0,36245.71,21.3,1,294,59
2023-02-16,26.4,11.2,0.00,0.00,0.0,36220.93,8.9,3,324,72
2023-02-17,26.9,12.8,0.00,0.00,0.0,36467.55,10.2,3,336,77
2023-02-18,26.5,12.6,0.00,0.00,0.0,36442.78,8.7,3,291,75
2023-02-19,28.3,13.9,0.00,0.00,0.0,36000.00,11.1,3,118,70
2023-02-20,31.0,15.1,0.00,0.00,0.0,36000.00,13.4,3,151,58
2023-02-21,29.5,13.9,0.00,0.00,0.0,36908.76,14.1,3,292,61
2023-02-22,28.6,13.8,0.00,0.00,0.0,36884.19,14.3,3,327,58
2023-02-23,28.0,13.0,0.00,0.00,0.0,37201.52,19.6,3,288,51
2023-02-24,28.3,12.1,0.00,0.00,0.0,37146.94,15.1,3,282,51
2023-02-25,28.5,12.9,0.00,0.00,0.0,36824.74,10.0,1,294,55
2023-02-26,29.9,14.4,0.00,0.00,0.0,37056.44,13.3,1,294,52
2023-02-27,30.3,15.3,0.00,0.00,0.0,36766.02,15.8,3,310,49
2023-02-28,29.4,14.6,0.00,0.00,0.0,36663.35,17.9,3,359,50
2023-03-01,30.0,15.9,0.00,0.00,0.0,35318.28,14.6,3,16,49
2023-03-02,30.2,15.9,0.00,0.00,0.0,36554.99,15.4,1,304,54
2023-03-03,31.0,16.9,0.00,0.00,0.0,37297.97,19.1,2,300,54
2023-03-04,30.4,16.2,0.00,0.00,0.0,33775.95,17.4,3,307,57
2023-03-05,30.1,15.6,0.00,0.00,0.0,38247.43,21.1,2,305,49
2023-03-06,29.1,15.3,0.00,0.00,0.0,38985.43,18.6,3,294,50
2023-03-07,29.0,15.1,0.00,0.00,0.0,38180.70,13.9,3,288,49
2023-03-08,28.2,15.2,0.40,0.40,1.0,35452.04,14.8,51,271,57
2023-03-09,28.5,15.5,0.00,0.00,0.0,37757.56,14.5,1,253,59
2023-03-10,29.8,15.9,0.00,0.00,0.0,39549.47,15.2,0,288,53
2023-03-11,30.3,16.8,0.00,0.00,0.0,40283.70,13.5,0,288,51
2023-03-12,32.0,17.4,0.00,0.00,0.0,40490.28,11.0,3,312,46
2023-03-13,32.3,17.4,0.00,0.00,0.0,36658.21,18.7,3,307,50
2023-03-14,32.0,17.5,0.00,0.00,0.0,41167.02,21.8,1,293,46
2023-03-15,32.6,18.4,0.00,0.00,0.0,39795.54,19.7,3,334,41
2023-03-16,32.4,19.5,0.20,0.20,2.0,32212.34,16.2,51,190,45
2023-03-17,29.1,18.5,0.70,0.70,1.0,33377.61,14.8,53,106,59
2023-03-18,26.5,16.1,0.70,0.70,2.0,36381.11,25.3,51,55,79
2023-03-19,25.2,16.6,0.50,0.50,3.0,38003.70,12.2,51,137,83
2023-03-20,23.5,15.1,24.70,24.70,17.0,25312.12,18.4,65,88,86
2023-03-21,23.0,14.5,4.20,4.20,4.0,31695.14,10.0,63,55,84
2023-03-22,26.1,14.5,0.00,0.00,0.0,39773.70,9.8,3,288,76
2023-03-23,28.0,15.4,0.00,0.00,0.0,42750.36,15.2,3,294,62
2023-03-24,27.1,17.0,18.50,18.50,8.0,37013.66,19.9,65,98,76
2023-03-25,26.3,16.4,1.20,1.20,5.0,42164.00,19.7,53,85,77
2023-03-26,27.5,15.1,0.00,0.00,0.0,42984.35,14.7,1,323,63
2023-03-27,26.6,15.6,0.00,0.00,0.0,42896.50,17.9,3,299,67
2023-03-28,28.4,15.9,0.00,0.00,0.0,42334.75,17.7,3,316,63
2023-03-29,31.1,17.5,0.20,0.20,1.0,35379.38,12.2,51,140,57
2023-03-30,30.8,17.6,15.20,15.20,12.0,29296.37,18.4,63,335,75
2023-03-31,23.8,15.9,3.20,3.20,10.0,36763.10,16.6,55,118,84
2023-04-01,25.3,16.1,1.20,1.20,5.0,40904.46,11.6,53,51,80
2023-04-02,28.4,16.1,0.00,0.00,0.0,41772.14,17.3,2,300,71
2023-04-03,31.2,17.2,0.00,0.00,0.0,42366.06,17.5,2,10,63
2023-04-04,28.2,15.9,0.00,0.00,0.0,36978.34,16.9,3,325,64
2023-04-05,30.3,16.1,0.00,0.00,0.0,43200.00,16.2,0,316,49
2023-04-06,31.8,17.0,0.00,0.00,0.0,41921.79,16.8,2,321,42
2023-04-07,31.9,16.9,0.00,0.00,0.0,43200.00,16.5,0,305,34
2023-04-08,32.4,17.0,0.00,0.00,0.0,43200.00,17.3,0,283,30
2023-04-09,33.5,17.9,0.00,0.00,0.0,43200.00,16.6,0,296,28
2023-04-10,33.9,19.2,0.00,0.00,0.0,43126.29,16.9,3,290,28
2023-04-11,36.7,19.3,0.00,0.00,0.0,43057.41,24.9,3,298,25
2023-04-12,36.9,21.4,0.00,0.00,0.0,41115.35,23.2,3,274,30
2023-04-13,37.8,21.4,0.00,0.00,0.0,43115.38,19.6,3,288,27
2023-04-14,37.8,21.5,0.00,0.00,0.0,41362.44,17.0,3,281,27
2023-04-15,39.2,21.1,0.00,0.00,0.0,43171.46,14.9,3,235,23
2023-04-16,39.2,24.4,0.00,0.00,0.0,42558.27,18.2,3,272,28
2023-04-17,39.2,24.7,0.00,0.00,0.0,42683.12,15.5,1,262,24
2023-04-18,39.0,25.0,0.00,0.00,0.0,41196.42,23.2,3,282,24
2023-04-19,37.5,23.1,0.00,0.00,0.0,39066.50,22.2,3,309,41
2023-04-20,34.6,22.7,0.00,0.00,0.0,39355.16,15.8,3,238,43
2023-04-21,35.0,22.0,0.00,0.00,0.0,41773.93,17.7,3,35,32
2023-04-22,34.8,21.3,0.00,0.00,0.0,42242.96,15.0,3,355,24
2023-04-23,34.1,20.4,0.00,0.00,0.0,32915.04,21.2,3,17,31
2023-04-24,32.0,20.1,0.00,0.00,0.0,40841.59,16.6,3,123,36
2023-04-25,33.2,20.5,0.00,0.00,0.0,39785.50,16.5,3,101,37
