time,temperature_2m_max (°C),temperature_2m_min (°C),rain_sum (mm),precipitation_sum (mm),precipitation_hours (h),sunshine_duration (s),wind_speed_10m_max (km/h),weather_code (wmo code),wind_direction_10m_dominant (°),relative_humidity_2m_mean (%)
2023-01-01,27.3,16.4,0.00,0.00,0.0,37277.32,18.4,3,343,70
2023-01-02,29.1,16.5,0.00,0.00,0.0,37257.76,16.9,0,348,68
2023-01-03,29.1,17.0,0.00,0.00,0.0,37237.68,19.0,3,341,70
2023-01-04,28.6,17.1,0.00,0.00,0.0,37217.12,16.8,2,349,71
2023-01-05,29.8,19.4,0.00,0.00,0.0,37196.14,14.8,2,340,71
2023-01-06,31.6,20.9,0.00,0.00,0.0,37174.80,15.3,1,11,62
2023-01-07,32.0,21.8,0.00,0.00,0.0,36617.12,16.7,2,13,65
2023-01-08,31.4,19.8,0.00,0.00,0.0,37666.75,19.0,2,358,56
2023-01-09,30.7,18.9,0.00,0.00,0.0,38179.10,18.7,0,355,52
2023-01-10,31.1,16.6,0.00,0.00,0.0,38422.95,17.9,0,356,52
2023-01-11,29.4,16.1,0.00,0.00,0.0,38666.06,15.6,0,339,63
2023-01-12,28.1,16.7,0.00,0.00,0.0,38641.81,19.2,1,332,75
2023-01-13,26.5,16.8,0.00,0.00,0.0,38617.50,22.2,1,346,73
2023-01-14,26.0,14.8,0.00,0.00,0.0,38794.06,20.3,3,344,64
2023-01-15,25.8,14.9,0.00,0.00,0.0,38832.75,19.7,3,338,72
2023-01-16,25.7,14.6,0.00,0.00,0.0,38870.97,14.5,3,341,76
2023-01-17,27.0,16.0,0.00,0.00,0.0,38908.63,15.2,1,337,74
2023-01-18,29.2,15.1,0.00,0.00,0.0,38945.77,13.7,1,343,72
2023-01-19,28.0,16.3,0.00,0.00,0.0,38982.98,12.5,1,333,73
2023-01-20,27.5,17.6,0.00,0.00,0.0,39020.29,16.6,1,338,74
2023-01-21,27.2,18.0,0.00,0.00,0.0,39057.67,18.9,0,337,67
2023-01-22,26.9,18.3,0.00,0.00,0.0,39095.07,23.3,0,343,55
2023-01-23,25.7,16.7,0.00,0.00,0.0,39132.42,24.2,0,340,58
2023-01-24,25.5,16.7,0.00,0.00,0.0,39169.70,24.2,3,339,58
